Image Filename,Generated Caption
Age_A_young_adult_walking_down_a_busy_street_with_frie_img4.png,several women walking down a street with cell phones in their hands
Age_A_young_adult_walking_down_a_busy_street_with_frie_img5.png,araffes walking down the street with their backs to the camera
Age_A_young_adult_walking_down_a_busy_street_with_frie_img6.png,three people walking across a crosswalk in a city
Age_A_young_adult_walking_down_a_busy_street_with_frie_img7.png,several people walking down a street with one holding the hand of another
Age_A_young_child_drawing_pictures_with_crayons__img1.png,there is a young girl sitting at a table with a pencil and paper
Age_A_young_child_drawing_pictures_with_crayons__img2.png,there is a young child sitting at a table with a pencil and paper
Age_A_young_child_drawing_pictures_with_crayons__img3.png,there is a young boy sitting at a table with a pencil and paper
Age_A_young_child_drawing_pictures_with_crayons__img4.png,there is a young girl drawing on a piece of paper with colored pencils
Age_A_young_child_drawing_pictures_with_crayons__img5.png,there is a young child that is drawing on a piece of paper
Age_A_young_child_drawing_pictures_with_crayons__img6.png,there is a young boy sitting at a table with a pencil and paper
Age_A_young_child_drawing_pictures_with_crayons__img7.png,there are two children sitting at a table writing on paper
Age_A_young_child_playing_in_a_sandbox__img1.png,arafed toddler playing in the sand with a toy
Age_A_young_child_playing_in_a_sandbox__img2.png,there is a small child playing in the sand at the beach
Age_A_young_child_playing_in_a_sandbox__img3.png,arafed boy in a blue shirt playing in a hole in the sand
Age_A_young_child_playing_in_a_sandbox__img4.png,there is a young boy sitting in the sand playing with a yellow cup
Age_A_young_child_playing_in_a_sandbox__img5.png,there is a small child playing in a sand pit
Age_A_young_child_playing_in_a_sandbox__img6.png,there is a young boy playing in the sand at the beach
Age_A_young_child_playing_in_a_sandbox__img7.png,arafed boy sitting in the sand in a park
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img1.png,smiling couple sitting at a table with a glass of wine
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img2.png,smiling couple eating a meal at a restaurant together
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img3.png,there are two people sitting at a table eating food together
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img4.png,a couple enjoying a meal at a restaurant together
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img5.png,there are people sitting at a table with wine glasses
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img6.png,there are two people sitting at a table eating and drinking wine
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant__img7.png,there are two people sitting at a table with plates of food and wine
Age_A_young_couple_holding_hands_at_a_park__img1.png,arafed couple holding hands walking in a park holding hands
Age_A_young_couple_holding_hands_at_a_park__img2.png,there are two people holding hands in a park
Age_A_young_couple_holding_hands_at_a_park__img3.png,araffes man and woman holding hands and smiling in a park
Age_A_young_couple_holding_hands_at_a_park__img4.png,they are walking in the park holding hands and smiling
Age_A_young_couple_holding_hands_at_a_park__img5.png,araffes walking in the park holding hands with a woman
Age_A_young_couple_holding_hands_at_a_park__img6.png,they are walking down the path holding hands
Age_A_young_couple_holding_hands_at_a_park__img7.png,araffe couple walking in a park holding hands
Age_A_young_person_in_a_fitness_class_at_the_gym__img1.png,there are people doing exercises in a gym with a trainer
Age_A_young_person_in_a_fitness_class_at_the_gym__img2.png,arafed woman in a gym with arms outstretched in front of her
Age_A_young_person_in_a_fitness_class_at_the_gym__img3.png,arafed group of women doing push ups in a gym
Age_A_young_person_in_a_fitness_class_at_the_gym__img4.png,there is a young girl squatting on a skateboard in a gym
Age_A_young_person_in_a_fitness_class_at_the_gym__img5.png,there are two women in the gym doing squats with a bar
Age_A_young_person_in_a_fitness_class_at_the_gym__img6.png,a group of people doing exercises with dumb dumbs in a gym
Age_A_young_person_in_a_fitness_class_at_the_gym__img7.png,several women are doing exercises on mats in a gym
Age_A_young_person_playing_an_instrument_on_stage__img1.png,arafed young girl playing a guitar in a purple hat
Age_A_young_person_playing_an_instrument_on_stage__img2.png,boy sitting on stool playing guitar on stage with curtain in background
Age_A_young_person_playing_an_instrument_on_stage__img3.png,there is a young boy playing a piano with a pair of chopsticks
Age_A_young_person_playing_an_instrument_on_stage__img4.png,arafed boy playing a grand piano on stage with bright lights
Age_A_young_person_playing_an_instrument_on_stage__img5.png,boy sitting on a chair playing a guitar in front of a piano
Age_A_young_person_playing_an_instrument_on_stage__img6.png,there is a young girl sitting on a piano playing a musical instrument
Age_A_young_person_playing_an_instrument_on_stage__img7.png,there is a young boy that is playing a guitar on stage
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img1.png,woman sitting on a yoga mat in a room with a window
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img2.png,arafed woman sitting on a yoga mat in a room
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img3.png,woman sitting on a yoga mat in a room with a wooden wall
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img4.png,woman in a yoga pose on a yoga mat in a room
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img5.png,woman sitting on a yoga mat in a room with a blue mat
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img6.png,arafed woman doing a yoga pose in a room with windows
Age_A_young_person_practicing_yoga_in_a_peaceful_studi_img7.png,woman sitting on a yoga mat doing a yoga pose
Age_A_young_professional_presenting_at_a_business_meet_img1.png,woman in black suit giving presentation to audience in conference room
Age_A_young_professional_presenting_at_a_business_meet_img2.png,there is a man in a suit and tie standing in front of a class
Age_A_young_professional_presenting_at_a_business_meet_img3.png,several people sitting around a table with laptops and papers
Age_A_young_professional_presenting_at_a_business_meet_img4.png,there is a woman giving a presentation to a group of people
Age_A_young_professional_presenting_at_a_business_meet_img5.png,there is a man standing in front of a group of people
Age_A_young_professional_presenting_at_a_business_meet_img6.png,there is a woman standing in front of a whiteboard giving a presentation
Age_A_young_professional_presenting_at_a_business_meet_img7.png,there is a woman in a suit giving a presentation in front of a group of people
Age_A_young_professional_working_in_a_modern_office__img1.png,there is a man in a suit sitting at a desk with a laptop
Age_A_young_professional_working_in_a_modern_office__img2.png,there is a man sitting at a desk with a laptop
Age_A_young_professional_working_in_a_modern_office__img3.png,smiling business woman sitting at desk with laptop and pen in hand
Age_A_young_professional_working_in_a_modern_office__img4.png,arafed man in a suit sitting at a desk with a tablet
Age_A_young_professional_working_in_a_modern_office__img5.png,there is a man sitting at a table with a laptop and a tablet
Age_A_young_professional_working_in_a_modern_office__img6.png,smiling man in suit sitting at a desk with a laptop and cell phone
Age_A_young_professional_working_in_a_modern_office__img7.png,there are many desks and chairs in this office with a man walking by
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img1.png,there is a man sitting on the grass with a frisbee
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img2.png,smiling man in blue shirt standing on dirt road next to trees
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img3.png,there is a woman with a big afro standing in the woods
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img4.png,smiling man standing next to a tree in a forest
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img5.png,smiling man in orange shirt standing in a forest with trees
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img6.png,smiling man with a beard and a pink sweater on
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_ou_img7.png,smiling man in green shirt standing in front of a forest
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img1.png,woman singing into a microphone while a group of people watch
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img2.png,several women singing in front of a yellow curtain with a microphone
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img3.png,there is a woman singing into a microphone while people watch
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img4.png,several people singing and holding microphones in front of a crowd
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img5.png,several people singing and singing into microphones while others watch
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img6.png,choir of black and white women singing in a choir with a man in a red hat
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_ch_img7.png,choir of women singing in a choir with microphones in front of a crowd
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img1.png,there is a man riding a bike down a dirt road
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img2.png,there is a man riding a bike down a path in the woods
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img3.png,there is a man riding a bike on a dirt path
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img4.png,there is a man riding a bike down a road in the woods
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img5.png,there is a man riding a bike down a dirt road
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img6.png,there is a man riding a bike down a path in the woods
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_t_img7.png,there is a man riding a bike down a dirt path
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img1.png,someone is cooking food on a stove with chopsticks and rice
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img2.png,there is a woman in a kitchen preparing food in a bowl
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img3.png,arafed man in a kitchen with chopsticks and a large pan of food
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img4.png,there are two people standing in a kitchen preparing food
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img5.png,woman in red apron cooking food in a kitchen with a wooden spoon
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img6.png,woman in a kitchen preparing food in a bowl with chopsticks
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_trad_img7.png,there is a man that is cooking in a kitchen with many plates
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img1.png,graffiti artist painting a mural on a wall with a stick
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img2.png,painting a mural of a man with a paintbrush and a paint brush
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img3.png,painting a mural of a woman in a pink top and yellow skirt
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img4.png,painting a mural of a woman with a hat and a blue brush
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img5.png,graffiti artist painting a wall with a spray can in front of a colorful wall
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img6.png,painting of a woman painting a mural on a wall
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_m_img7.png,painting of a woman with a paintbrush in her hand
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img1.png,arafed woman sitting on the floor reading a book in front of a bookcase
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img2.png,arafed woman reading a book in a library with a bookcase full of books
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img3.png,arafed man sitting on a stool reading a book in a library
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img4.png,arafed woman sitting on the floor reading a book in a library
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img5.png,arafed woman reading a book in a library with a bookcase full of books
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img6.png,arafed man reading a book in a library with a book case full of books
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_img7.png,woman reading a book in a library with a book case full of books
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img1.png,there is a man walking down the steps of a building
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img2.png,araffe standing in front of a building with a red roof
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img3.png,arafed asian man standing in front of a building with red pillars
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img4.png,arafed man standing in front of a building with a golden door
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img5.png,arafed man standing in front of a red pagoda with a red roof
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img6.png,araffe standing in front of a red building with a red roof
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_t_img7.png,there is a man standing in front of a building with a red door
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img1.png,dancers in colorful outfits are dancing in a parade with people watching
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img2.png,there is a man in a blue jacket and a woman in a pink dress
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img3.png,araffe dancer in colorful dress in front of a crowd of people
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img4.png,dancers in a parade with people in colorful dresses and a man in a tuxedo
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img5.png,dancers in a group performing a dance in a park
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img6.png,araffe dancer in pink dress with arms outstretched in front of a crowd
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_c_img7.png,araffe man in a white shirt and tie dancing in a field
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img1.png,araffe dressed in a mexican costume and hat dancing in front of a crowd
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img2.png,araffe woman in a red skirt dancing in a parade
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img3.png,araffe dancer in a colorful outfit and hat in front of a crowd
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img4.png,dancers in colorful dresses are dancing in a crowd of people
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img5.png,dancers in colorful dresses are holding a flag and dancing
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img6.png,there is a woman in a colorful dress dancing in a parade
Ethnicity_An_individual_of_Hispanic_ethnicity_participating__img7.png,araffes in colorful costumes are dancing in a parade
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img1.png,arafed man sitting in a chair reading a book
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img2.png,arafed man reading a book in a library with a book shelf full of books
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img3.png,arafed man sitting on a bench reading a book
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img4.png,arafed man sitting on the grass reading a book
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img5.png,arafed man reading a book in a library with a bookcase full of books
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img6.png,arafed man sitting on steps reading a book while looking at his phone
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_img7.png,arafed man sitting on the ground writing on a book
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img1.png,araffe dressed in a red and white robe standing in front of a crowd
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img2.png,araffes of people in a crowd of different colors and sizes
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img3.png,there is a woman wearing a headscarf in a crowd of people
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img4.png,there are many people that are standing in a crowd together
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img5.png,woman with long black hair talking on a cell phone in front of a crowd
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img6.png,araffe dressed in traditional clothing standing on stage in front of a wall
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attendin_img7.png,araffe dressed in traditional clothing standing in front of a group of people
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img1.png,arafed man working on a painting in a shop
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img2.png,arafed man in a red shirt is painting on a wall
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img3.png,a painting of a man with a beard and a goat
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img4.png,arafed man sitting on the floor in front of a wall of colorful paintings
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img5.png,arafed woman working on a painting in a shop
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img6.png,arafed man painting a colorful picture on a wall with a spray can
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_img7.png,painting on a table with a woman in a purple scarf
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img1.png,there is a man sitting at a table with a cup of coffee
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img2.png,woman in black scarf holding a cup of coffee and smiling
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img3.png,araffe man sitting on a bench holding a cup of coffee
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img4.png,araffe man sitting at a table drinking from a cup
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img5.png,araffe man with a beard and a purple scarf holding a cup
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img6.png,smiling man holding a cup of coffee in a cafe
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_img7.png,there is a man sitting at a table with a cup of coffee
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img1.png,there are two people standing in front of a building with arches
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img2.png,arafed man in a blue robe walking through an archway
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img3.png,there are two people standing in a courtyard with arches
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img4.png,there is a woman in a black robe standing in front of a building
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img5.png,arafed woman in a blue scarf standing in front of a stone wall
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img6.png,arafed man standing in front of a large stone structure
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_img7.png,arafed man standing in a doorway of a building with a red purse
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img1.png,bride in red and gold outfit sitting in front of a crowd
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img2.png,bride in green and red outfit standing in front of a crowd
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img3.png,arafed bride and groom in traditional indian attire posing for a picture
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img4.png,bride in green and red outfit smiling at the camera
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img5.png,bride and grooms in traditional indian attire posing for a picture
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img6.png,araffes in pink saris are posing for a picture
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_img7.png,a close up of a woman in a purple dress with a pink purse
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img1.png,araffes of people in a crowd with their hands up
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img2.png,araffes in a crowd of people at a festival with their hands up
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img3.png,a man in a green shirt is clapping in front of a crowd
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img4.png,there is a woman that is smiling and clapping in front of a crowd
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img5.png,there is a man that is singing into a microphone in front of a crowd
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img6.png,people in colorful saris are watching a performance with their hands up
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a__img7.png,people are sitting in a crowd watching a performance with a man with a green face paint
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img1.png,woman in black top doing yoga outside on blue mat
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img2.png,woman in a pink tank top doing a yoga pose on a mat
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img3.png,woman in a yoga pose on a blue mat in a room
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img4.png,woman in purple tank top doing yoga outdoors on blue mat
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img5.png,woman in a pink tank top and blue pants doing yoga
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img6.png,woman in a pink shirt doing a yoga pose on a blue mat
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing__img7.png,woman in a yoga pose on a blue mat in front of a wall
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img1.png,several people standing in a line with a child in front of them
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img2.png,there are many people that are posing for a picture together
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img3.png,several people standing in a line with one child pointing at the camera
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img4.png,there is a young girl in an orange dress and a blue tie
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img5.png,there is a man sitting on a wooden box in front of a crowd
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img6.png,there is a man standing in front of a group of people
Ethnicity_A_person_of_African_ethnicity_attending_a_family_r_img7.png,there are three people standing together in a field with one man holding a banana
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img1.png,there are many pillars in the room with people sitting on the floor
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img2.png,arafed view of a woman walking through a museum with sculptures
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img3.png,there is a man standing in front of a wall with paintings on it
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img4.png,arafed woman walking through a museum with paintings on the walls
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img5.png,woman standing in front of a group of paintings in a museum
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img6.png,there is a woman standing in a museum looking at paintings
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum__img7.png,arafed man standing in a museum looking at paintings
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img1.png,two women are holding a box of plants in a garden
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img2.png,there is a man kneeling down in a garden with a plant
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img3.png,there is a man that is standing in a garden with some plants
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img4.png,woman kneeling in a garden with plants and a man in the background
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img5.png,there is a man that is bending over to plant something in the garden
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img6.png,several people are standing in a garden with a man holding a carrot
Ethnicity_A_person_of_African_ethnicity_helping_in_a_communi_img7.png,there is a man and a child that are working in the garden
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img1.png,there is a man that is standing in the dirt with a frisbee
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img2.png,there is a man kicking a soccer ball in the dirt
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img3.png,they are two men fighting in a dirt field with one holding a bat
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img4.png,arafed man in a red shirt doing a karate pose
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img5.png,there is a man in black shirt and black pants doing karate
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img6.png,there is a young man standing on a dirt field with a frisbee
Ethnicity_A_person_of_African_ethnicity_practicing_martial_a_img7.png,there is a man in a karate pose with a yellow frisbee
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img1.png,woman holding a bowl of food with a man in the background
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img2.png,there is a man kneeling down to a bowl of food
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img3.png,woman in a pink and yellow dress is sitting down and eating
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img4.png,someone is holding a bowl of corn in their hands
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img5.png,someone is cooking a meal in a bowl on the grass
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img6.png,woman in apron holding a bowl of food in front of a table
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditio_img7.png,woman sitting on the ground with a plate of food in her hands
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img1.png,several people are preparing food in a kitchen while a woman watches
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img2.png,there are a group of people standing around a table with food
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img3.png,there are two people standing in a kitchen preparing food together
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img4.png,there are two people preparing food in a kitchen together
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img5.png,there is a man that is cutting up some food on a counter
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img6.png,there are two people in the kitchen preparing food together
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_m_img7.png,there are two people cooking in a kitchen with a fire in the background
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img1.png,arafed person walking down a path in a park in the fall
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img2.png,there is a woman walking down a path with a skateboard
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img3.png,arafed person walking down a dirt path in a park
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img4.png,arafed man walking on a path in a park with trees
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img5.png,there is a woman walking down a path in a park
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img6.png,there is a man walking down a path in a park
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_th_img7.png,araffe walking down a path in a park with trees
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img1.png,arafed hiker on a rocky trail in the mountains
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img2.png,arafed man walking up a rocky path with a backpack on
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img3.png,there is a man walking up a trail with a backpack
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img4.png,arafed man hiking up a rocky trail with a backpack and trek poles
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img5.png,there is a man with a backpack and trek poles on a trail
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img6.png,arafed man in a blue hat and blue jacket standing on a rocky trail
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_moun_img7.png,there is a man walking up a rocky trail with a backpack
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img1.png,painting on canvas with a brush and a palette in a room
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img2.png,painting on a canvas with a brush and a paintbrush
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img3.png,painting on a canvas being worked by a man in an art studio
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img4.png,painting a picture of a woman with a brush in her hand
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img5.png,painting on a canvas with a person holding a brush
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img6.png,painting on canvas with brush and palette in studio with wooden easel
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas__img7.png,painting of a man with a brush in his hand
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img1.png,there is a man walking on the beach with a surfboard
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img2.png,there is a woman walking down a path with a frisbee
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img3.png,there is a man walking on the beach with a surfboard
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img4.png,there is a man walking on the beach with a surfboard
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img5.png,there is a man walking on the beach with a hat on
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img6.png,araffe walking on the beach with a hat and scarf
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_t_img7.png,there is a man walking on the beach with a frisbee
